,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,374000,2,-8000,-2.09,381500,385000,371000,296491,111725903000,19877549472000,53148528,KSQ
1,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,157600,1,1000,0.64,160400,163400,155500,349054,55350909900,15413491814400,97801344,KSQ
2,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,78200,1,200,0.26,80700,81200,77800,518879,41094732100,10411418188000,133138340,KSQ
3,028300,KR7028300002,HLB,KOSDAQ,중견기업부,65300,2,-200,-0.31,64700,66000,63000,1199273,77324375900,8562608510800,131127236,KSQ
4,141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,126000,2,-5000,-3.82,131000,131000,124000,462715,59047266300,4607485848000,36567348,KSQ
5,348370,KR7348370008,엔켐,KOSDAQ,벤처기업부,180400,1,1100,0.61,184300,186700,179400,95819,17440156100,3749960909200,20786923,KSQ
6,214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,53000,1,2000,3.92,51100,53500,50000,519530,27205474800,3471799927000,65505659,KSQ
7,145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,268500,1,500,0.19,268500,274000,263500,52266,14100134500,3384182860500,12604033,KSQ
8,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,125900,1,1700,1.37,123700,130500,122300,379436,47911706200,2953295724800,23457472,KSQ
9,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,180600,2,-300,-0.17,182400,183600,179100,55421,10009683400,2752772022000,15242370,KSQ
10,068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,61600,2,-400,-0.65,61900,62000,60800,76052,4661523900,2562583839200,41600387,KSQ
11,403870,KR7403870009,HPSP,KOSDAQ GLOBAL,중견기업부,30450,2,-150,-0.49,30600,30950,30050,258365,7877521000,2525344684800,82934144,KSQ
